timestamp,comment_text,likes,has_replies,number_of_replies
1520340153496,1:21 when someone steal yo oscar,0,FALSE,0
1520339793504,"Watched it yesterday, fantastic tragicomedy. And Harrelson, Rockwell and MacDormand are simply amazing!",0,FALSE,0
1520339013512,Oh god what a movie ... 💙👌,0,FALSE,0
1520338233520,"You deserve it, Frances . What an amazing act!! You such a brilliant actorss",0,FALSE,0
1520330493527,This movie was soooo incredibly good. One of the best movies I've watched in a while. I'm so suprised it didn't win the Oscar. I was really shocked at the sudden end tho..,0,FALSE,0
1520323293536,"It was good but the ending sucked. It wasn't a bad ending, just not a fulfilling one.",0,FALSE,0
1520323293543,this looks stupid.,0,FALSE,0
1520323293549,"This is a gem,trust me, PLEASE its one of THOSE movies,holy shit watch this",0,FALSE,0
1520319693558,Oh snap! I actually really got sold on this trailer. I initially had no intention of watching this.,0,FALSE,0
1520319693566,Looking at Frances Mcdormands Oscar speech I don't think she really had to act in this movie,0,FALSE,0
1520316093576,"Frances McDormand deserves the Oscar, she was amazing. Same as Sam Rockwell and Woody Harrelson.",0,FALSE,0
1520312493583,What is the song starting at :20?,0,FALSE,0
1520312493590,And well-earned Oscars to McDormand and Rockwell.,0,FALSE,0
1520308893598,I was really impressed with this movie. Wonderful!,0,FALSE,0
1520305293604,So she commits arson.  She commits aggregated assault,0,FALSE,0
1520301693613,WTG Margie!,0,FALSE,0
1520298093623,This is a long stretch from Miss Clevelle,0,FALSE,0
1520298093633,"I've been trying to find it to watch... but serious congratulations to F. McDormand (best actress) and all our favorite guy. Sam Rockwell (best supporting male actor) for their Oscars! Sam, you are amazing.",0,FALSE,0
1520294493637,So glad I didn't watch this trailer before watching the movie 👌,0,FALSE,0
1520294493646,"Scenario je ocajan, tema i poenta nema ih, nista nije smesno jedino ako si debil onda ce ti mozda biti",0,FALSE,0
1520294495421,Glupo glupo glupo,0,FALSE,0
1520294495427,"Stupid movie, for thoes people who say something stupid and then laugh on their own jokes",0,FALSE,0
1520287295435,best trailer ever!  dying to see this you fucking bitch! lmao,0,FALSE,0
1520287295441,Lady with a funny fuckin eye?,0,FALSE,0
1520287295448,I don’t understand how Fox can produce a film like this and also produce Fox News.,1,TRUE,1
1520287295459,I don’t understand how Fox can produce a film like this and also produce Fox News.,0,FALSE,0
1520287295468,The Girl was really a Boy in Drag whom she kicked in the Nuts!,0,FALSE,0
1520283695473,"Dang, she's a Bad-A",0,FALSE,0
1520280095482,"I love McDormand. She feels so real in every role she's in. Oddly, she's always likable, even in unlikable roles.",1,FALSE,0
1520280095491,One of the best movies I have seen in a while along with 'Molly's Game ',1,FALSE,0
1520276495495,"Disappointing movie, really. It could have been so much better except for the anti-white/anti-cop/anti-Christian agenda that infects the first half of the script. Once the London writer gets his predictable angry liberal rant out through his characters and actually attempts to depict rural America in an uncondescending manner (if that's possible for Hollywood). The second half starts to recover by softening Frances character and fleshing out Sam Rockwell's. Unfortunately, Frances' bitter, man hating character is way too one dimensional (the real woman Marianne Asher-Chapman, was much more nuanced, the Director should have depicted that) and frankly tiresome. 

Rockwell, however, despite his hammy role written for him by an anti gun Londoner urbanite, puts in a sterling performance. I haven't watched the driberal self congratulatory bash at the Dolby theater but I'm assuming this movie did very well, the racket-machine had earmarked it for an ""Oscar nod"" months before and I think most, like myself, had decided they liked Frances character just going by the trailer cuts. Big mistake.",1,FALSE,0
1520276495505,"This is what inspired the film:
https://www.chron.com/news/houston-texas/texas/article/Many-billboards-outside-Vidor-Texas-inspired-12725893.php",0,FALSE,0
1520276495513,A dark redneck drama wtf,0,FALSE,0
1520272895524,What a movie just finished right now,0,FALSE,0
1520269295535,Fuckin boring movie ..waste of time,0,FALSE,0
1520269295540,"Weell now i see why she won the Oscar well deserve
That last part was everything 
Frances McDorman 👏😊🏆",1,FALSE,0
1520269295577,Happy this didn't win a Oscar for best picture,0,FALSE,0
1520262095586,This movie was fucking robbed at the oscars,0,FALSE,0
1520254895596,After #oscars,1,FALSE,0
1520254895601,fuck excited to watch this 😂😂😂😂,0,FALSE,0
1520254898865,She’s good,0,FALSE,0
1520254898875,Martin McDonagh is a brilliant playwright and screenwriter. Plays like The Pillowman and the Leenage trilogy are significant contributions to the theatre. His transformation from great Irish playwright to screenwriter and director proves his innate gift.,0,FALSE,0
1520254898879,who is watching this trailer after       Oscar award results???,0,FALSE,0
1520254898889,This film is amazing. So glad Frances and Sam just won Oscars for it. Incredibly well-deserved.,0,FALSE,0
1520254898900,"Best movie I've seen in about 10 years, definitely.",1,FALSE,0
1520254898909,Why wasn't  this movie german cinemas?,0,FALSE,0
1520254898913,The Shape of Water robbed this movie.,0,FALSE,0
1520254898921,"Although the movie has some qualities and it definitely had (unfulfilled) potential i think it is severely overrated and nowhere close to some Coen movies that were it's biggest influence.The cast was good but i found the characters non-relatable to downright unlikable and it's comical parts were very offbeat. Not a bad movie by any means, but no way a masterpiece either and worse than the sum of it's parts.I found most movies this year to be overrated, this one as well as Dunkirk, Phantom thread and Blade Runner 2049, although the last one was visually a sight to behold, it's art direction was one of the best in the history of cinema.",0,TRUE,2
1520254898931,"Amazingly entertaining movie, instant classic. Surprisingly funny as fuck.",1,FALSE,0
1520254898935,So good besides all of the violence and swearing,0,FALSE,0
1520254898943,Frances and Sam are great in this but this is also one of Woody's best.,0,FALSE,0
1520254898948,This is the saddest movie I have ever seen in 2018. Just sad 😢! Made my mood off,0,FALSE,0
1520254898954,Great movie :),0,FALSE,0
1520254898958,"to much violence in this damn movie, I don´t like.",0,TRUE,1
1520254898968,Congratulations #FrancesMcDormand!!!,0,FALSE,0
1520254898971,No oscar,0,FALSE,0
1520254898980,I CANT STRESS ENOUGH HOW AMAZING THIS MOVIE WAS.,0,FALSE,0
1520254898983,Best actress!,1,FALSE,0
1520254898992,Best actress winner 🌈,1,FALSE,0
1520254898998,and the Oscar for best actress goes to...,1,FALSE,0
1520254901439,"I thought Woody would get that Oscar I'm a little bit disappointed ,but well done Sam anyway",0,FALSE,0
1520254901449,Congratulations Sam!,0,FALSE,0
1520254901452,Here after Sam Rockwell won best supporting actor,0,FALSE,0
1520254901461,Can someone tell me what the 1st song was,0,FALSE,0
1520254901471,"How many movie producers could get away with cursing a meal during the Jewish holy day of Passover?  Or using profanity against the Muslim feast of Eid? Not one, you'll never see it. But Christianity? It's always open season in diabolical Hollywood against Christianity as evidenced in this filthy trailer. Thanks Hollywood. Nice. And during Lent even. You always manage to show who you are: Satanists, dead to life, greedy for money, filthy minded and typically anti-Christian!",0,TRUE,1
1520254901479,This is the kind of film that might have an effect on society!,0,FALSE,0
1520254901484,"Poor Tyrion, he was so innocent in this movie, but what a fresh and great movie.",0,FALSE,0
1520254901488,"the movie is about town in tx. It a true story about Vidor, TX",0,FALSE,0
1520254901497,This looks like its based on a true story in Missouri.  http://www.bbc.com/news/av/world-us-canada-43259912/meet-the-real-life-three-billboards-mother,0,FALSE,0
1520254901506,Did anyone here see Fargo?  Great movie.,0,FALSE,0
1520254901510,Why does she not get arrested?,0,FALSE,0
1520254901519,"It is the best movie. Don't be afraid to watch it. 
Three Billboards Outside Ebbing, Missouri fuII movie [ nerdy.bid/7isGA ]",5,FALSE,0
1520254901524,great movie...gets the gold,0,FALSE,0
1520254901531,Eh too much cussing,0,FALSE,0
1520254901538,One of the best movies I've seen in YEARS! I am looking forward to seeing the Shape of water next but for now this was the BEST!!!!,1,FALSE,0
1520254901545,Good movie,0,FALSE,0
1520254901553,"I adore this movie it made me laugh, it made me cry it’s the best movie ever",0,FALSE,0
1520168501558,Just saw it yesterday! Such a good movie and she really deserves this oscar nomination!,0,FALSE,0
1520168501566,This is beautiful,0,FALSE,0
1520168501571,Just watched it. I liked it ok but I was a bit disspointed if I'm being completely honest.,0,FALSE,0
1520168503625,Silly. Kind of wasting time.,0,FALSE,0
1520168503632,where's the sequel?,0,FALSE,0
