timestamp,comment_text,likes,has_replies,number_of_replies
1520323787433,Oscar Deserved. Finally.,1,FALSE,0
1520320187445,Gary oldman look like real Winston churchil in this movie,0,FALSE,0
1520316587457,So people still think Uncle Adolf was the bad guy and Ol Churchil the good guy ? Pathetic,0,FALSE,0
1520316587465,Was the Rush theme song used?,0,FALSE,0
1520316587482,"Winston Churchills policies killed nearly 4 million Indians
in the 1943-44 Bengal Famine

It took Adolf Hitler and his Nazi cohorts 12 years to round up and murder 6 million Jews, but  the British, managed to kill almost 4 million Indians in just over a year, with Prime Minister Winston Churchill cheering from the sidelines.",0,FALSE,0
1520309387492,"favorite movie.

no other has any chance to beat it.
This movie made me feel so patriotic, i even made a vid on his most famous speech.",0,FALSE,0
1520305787502,"The British are responsible for all the disasters that we see happening in the world today,with the Rothschild's financial system.",0,FALSE,0
1520302187512,congraz for oscar gary!,0,FALSE,0
1520302187523,Brexit  at his best. Bravo Britain's.,0,FALSE,0
1520302187535,Darkest hour=dunkirk's behind the scenes :-),0,FALSE,0
1520294987548,"Just lies and deceitful propaganda 
Ask indians and russians how they value this snake named churchil",0,FALSE,0
1520291387558,I didnt even know it was Gary Oldman until I saw the list of Cast. The Makeup and Gary's acting was good 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,0,FALSE,0
1520291387573,Am i the only one who thought of iron maiden,0,FALSE,0
1520291387588,Take a Bow Mr Oldman.Truely Amazing!!!,0,FALSE,0
1520276987601,"Gary Oldman with that fake goiter , all i can distinguish from his expressions are his eyes an eyebrows ...I've watched Churchill with Brian Cox before watching this, i felt like Cox did a better Churchill.Another reason might be that in Brian Cox's Churchill's the character is more human and powerless , same as everyone  else felt",0,FALSE,0
1520276987614,Music theme from Rush really? Shame,0,FALSE,0
1520276987626,I saw the Movie on Saturday the March 3rd 2018. I saw how great Gary Oldman. Can not belive that is Gary Oldman as Chruchill. Great fantastic acting. I would say 29 Oscar for the Film. And 19 Oscar for Oldman.,0,FALSE,0
1520276987644,Why is the score from Rush in this trailer...?,0,FALSE,0
1520273387655,A testament to the British people!,0,FALSE,0
1520269787667,"But aint the background music that of ""RUSH"" movie?",0,FALSE,0
1520269789671,Rain of Castamere..,0,FALSE,0
1520269789675,Finally gary oldman won the oscar.,1,FALSE,0
1520269789681,This movie looks like Churchill besides this man was responsible for more than 3 million deaths in India alone why to glorify him..!!,0,FALSE,0
1520266189689,I came here after Ocars 🙏💕💕💕💕💕,1,FALSE,0
1520266189697,Who is watching this trailer after the announcement of his Oscar winning?,1,FALSE,0
1520262589704,Gary Oldman 👍👍👍,0,FALSE,0
1520258989711,2018: Gary Oldman is Oscar,1,FALSE,0
1520258989717,the background score is same that of Rush...Although loved it..!!,0,FALSE,0
1520258989723,Can’t believe they got Winston Churchill himself to do this movie,1,FALSE,0
1520255389732,"#DarkestHour is the best movie. 
WATCH this movie here: [ nerdy.bid/DdhLK ]",1,FALSE,0
1520255389737,"Congratulations Gary! Even if most of us saw it coming,,,,,",0,FALSE,0
1520255389747,Damn. Imagine if politics was like this today... Might get something done.,0,FALSE,0
1520255389756,He deserved it,0,FALSE,0
1520255389759,"where is the part where he kills millions of Indians, and talks about how much he hated them?",0,FALSE,0
1520255389769,Heil Hitler Fuck you Winston Churchill,1,FALSE,0
1520255389773,"""When Will The Lesson Be Learned You Cannot Reason With A Tiger When Your Head Is in it's Mouth""",0,FALSE,0
1520255389780,He won!,1,FALSE,0
1520255389789,"Wow, Tyler Perry really knocked it out of the park! Playing Churchill, Hitler AND all 12,000 soldiers? now that's impressive",0,FALSE,0
1520255389792,Gary gets the Oscar.,1,FALSE,0
1520255389801,And he won the OSCAR!,1,FALSE,0
1520255390693,Gary Oldman won the Oscar,1,FALSE,0
1520255390698,I see why he won an Oscar,1,FALSE,0
